home_team,away_team,match_date,round_number,match_stadium,home_logo,away_logo
El bicho,ihefu,2025-01-03 16:00:00+00:00,9,estadio de bicho,/media/teamlogo/pixlr-image-generator-ee33d5f7-1541-44f4-953e-d824da0d9757.png,/media/logo2.png
talent fc,simba,2025-01-06 15:30:00+00:00,9,zone stadium,/media/logo2.png,/media/logo2.png
JKU,yanga,2025-01-07 16:00:00+00:00,9,Amani Stadium,/media/logo2.png,/media/logo2.png
JKU,mango fc,2025-01-12 14:00:00+00:00,9,Amani Stadium,/media/logo2.png,/media/logo2.png
El bicho,talent fc,2025-01-12 14:00:00+00:00,10,estadio de bicho,/media/teamlogo/pixlr-image-generator-ee33d5f7-1541-44f4-953e-d824da0d9757.png,/media/logo2.png
ihefu,JKU,2025-01-19 15:30:00+00:00,10,ihefu complex,/media/logo2.png,/media/logo2.png
simba,JKU,2025-01-21 15:30:00+00:00,10,benjamin mkapa,/media/logo2.png,/media/logo2.png
yanga,mango fc,2025-01-26 15:30:00+00:00,10,benjamin mkapa,/media/logo2.png,/media/logo2.png
JKU,talent fc,2025-01-28 15:30:00+00:00,11,Amani Stadium,/media/logo2.png,/media/logo2.png
JKU,El bicho,2025-02-02 14:00:00+00:00,11,Amani Stadium,/media/logo2.png,/media/teamlogo/pixlr-image-generator-ee33d5f7-1541-44f4-953e-d824da0d9757.png
mango fc,ihefu,2025-02-04 18:00:00+00:00,11,mango complex,/media/logo2.png,/media/logo2.png
yanga,simba,2025-02-10 16:00:00+00:00,11,benjamin mkapa,/media/logo2.png,/media/logo2.png
JKU,JKU,2025-02-17 14:00:00+00:00,12,Amani Stadium,/media/logo2.png,/media/logo2.png
talent fc,mango fc,2025-02-23 14:00:00+00:00,12,zone stadium,/media/logo2.png,/media/logo2.png
El bicho,yanga,2025-02-23 18:00:00+00:00,12,estadio de bicho,/media/teamlogo/pixlr-image-generator-ee33d5f7-1541-44f4-953e-d824da0d9757.png,/media/logo2.png
ihefu,simba,2025-03-02 15:30:00+00:00,12,ihefu complex,/media/logo2.png,/media/logo2.png
mango fc,JKU,2025-03-04 18:00:00+00:00,13,mango complex,/media/logo2.png,/media/logo2.png
yanga,JKU,2025-03-09 18:00:00+00:00,13,benjamin mkapa,/media/logo2.png,/media/logo2.png
simba,talent fc,2025-03-11 15:30:00+00:00,13,benjamin mkapa,/media/logo2.png,/media/logo2.png
ihefu,El bicho,2025-03-16 14:00:00+00:00,13,ihefu complex,/media/logo2.png,/media/teamlogo/pixlr-image-generator-ee33d5f7-1541-44f4-953e-d824da0d9757.png
mango fc,yanga,2025-03-18 18:00:00+00:00,14,mango complex,/media/logo2.png,/media/logo2.png
JKU,simba,2025-03-30 18:00:00+00:00,14,Amani Stadium,/media/logo2.png,/media/logo2.png
JKU,ihefu,2025-04-01 15:30:00+00:00,14,Amani Stadium,/media/logo2.png,/media/logo2.png
talent fc,El bicho,2025-04-06 14:00:00+00:00,14,zone stadium,/media/logo2.png,/media/teamlogo/pixlr-image-generator-ee33d5f7-1541-44f4-953e-d824da0d9757.png
